0.000000	1.501384
1024.000000	3.944246
2048.000000	6.999244
3072.000000	10.888464
4096.000000	14.246432
5120.000000	17.636693
6144.000000	21.149974
7168.000000	24.270235
8192.000000	28.079765
9216.000000	31.287943
10240.000000	34.782890
11264.000000	38.344922
12288.000000	41.759036
13312.000000	44.406485
14336.000000	48.372578
15360.000000	51.635131
16384.000000	55.073515
17408.000000	57.892943
18432.000000	61.568515
19456.000000	65.292422
20480.000000	67.944557
21504.000000	71.126901
22528.000000	74.348619
23552.000000	77.387422
24576.000000	80.627369
25600.000000	83.497422
26624.000000	86.762369
27648.000000	89.525860
28672.000000	92.733411
29696.000000	95.230547
30720.000000	98.931849
31744.000000	100.980339
32768.000000	104.555807
33792.000000	107.215860
34816.000000	110.361015
35840.000000	113.071276
36864.000000	115.978203
37888.000000	118.329610
38912.000000	121.527161
39936.000000	124.044922
40960.000000	126.770286
41984.000000	129.258464
43008.000000	131.971119
44032.000000	134.698256
45056.000000	136.501432
46080.000000	139.365235
47104.000000	141.927474
48128.000000	144.262735
49152.000000	147.089036
50176.000000	149.333985
51200.000000	151.680599
52224.000000	154.027214
53248.000000	156.273619
54272.000000	158.297839
55296.000000	160.730599
56320.000000	162.466276
57344.000000	164.814244
58368.000000	166.726797
59392.000000	168.800286
60416.000000	171.098776
61440.000000	172.898932
62464.000000	174.931068
63488.000000	177.118828
64512.000000	178.829506
65536.000000	181.214244
66560.000000	183.067318
67584.000000	184.798932
68608.000000	186.659506
69632.000000	188.633411
70656.000000	190.231589
71680.000000	191.984140
72704.000000	193.389089
73728.000000	195.069036
74752.000000	196.786068
75776.000000	198.361640
76800.000000	199.804297
77824.000000	201.531953
78848.000000	203.071797
79872.000000	204.398515
80896.000000	205.998672
81920.000000	207.377265
82944.000000	208.873568
83968.000000	210.213515
84992.000000	211.360131
86016.000000	212.771224
87040.000000	214.071276
88064.000000	215.202369
89088.000000	216.812318
90112.000000	218.073411
91136.000000	219.091485
92160.000000	220.224557
93184.000000	221.592631
94208.000000	222.704453
95232.000000	223.794506
96256.000000	224.739974
97280.000000	225.778360
98304.000000	226.965390
99328.00000	227.864193
100352.000000	228.769661
101376.000000	229.549610
102400.000000	230.592786
103424.000000	231.489297
104448.000000	232.460703
105472.000000	233.548464
106496.000000	234.279140
107520.000000	235.018776
108544.000000	235.800911
109568.000000	236.597735
110592.000000	237.594557
111616.000000	238.185547
112640.000000	239.045390
113664.000000	239.682735
114688.000000	240.333307
115712.000000	241.027214
116736.000000	241.743307
117760.000000	242.488985
118784.000000	243.153619
119808.000000	243.825547
120832.000000	244.437682
121856.000000	245.009610
122880.000000	245.706849
123904.000000	246.196485
124928.000000	246.520182
125952.000000	247.318360
126976.000000	247.760599
128000.000000	248.381068
129024.000000	248.833411
130048.000000	249.238672
131072.000000	249.549557
132096.000000	250.000547
133120.000000	250.404557
134144.000000	250.991485
135168.000000	251.324453
136192.000000	251.627839
137216.000000	252.097474
138240.000000	252.544610
139264.000000	252.828515
140288.000000	253.336276
141312.000000	253.637161
142336.000000	254.061797
143360.000000	254.436015
144384.000000	254.802422
145408.000000	255.027786
146432.000000	255.449506
147456.000000	255.726328
148480.000000	256.138985
149504.000000	256.142682
150528.000000	256.452631
151552.000000	256.713619
152576.000000	257.127839
153600.000000	257.412786
154624.000000	257.637214
155648.000000	257.680807
156672.000000	258.050131
157696.000000	258.281849
158720.000000	258.479193
159744.000000	258.569557
160768.000000	258.880026
161792.000000	259.145286
162816.000000	259.347943
163840.000000	259.463724
164864.000000	259.880131
165888.000000	259.871744
166912.000000	260.128151
167936.000000	260.338932
168960.000000	260.603047
169984.000000	260.637578
171008.000000	260.926068
172032.000000	260.982786
173056.000000	261.108360
174080.000000	261.352265
175104.000000	261.426172
176128.000000	261.466224
177152.000000	261.914089
178176.000000	261.865911
179200.000000	262.000235
180224.000000	262.204036
181248.000000	262.310443
182272.000000	262.347057
183296.000000	262.590651
184320.000000	262.627265
185344.000000	262.791172
186368.000000	262.774661
187392.000000	262.881485
188416.000000	263.006015
189440.000000	263.128256
190464.000000	263.086432
191488.000000	263.363151
192512.000000	263.307682
193536.000000	263.412214
194560.000000	263.395703
195584.000000	263.604714
196608.000000	263.644765
197632.000000	263.638568
198656.000000	263.646536
199680.000000	263.951693
200704.000000	263.874557
201728.000000	264.029297
202752.000000	263.931432
203776.000000	264.072526
204800.000000	264.080807
205824.000000	264.149401
206848.000000	264.244140
207872.000000	264.206693
208896.000000	264.196119
209920.000000	264.341485
210944.000000	264.295703
211968.000000	264.347943
212992.000000	264.529349
214016.000000	264.645756
215040.000000	264.468932
216064.000000	264.558672
217088.000000	264.617161
218112.000000	264.646485
219136.000000	264.598411
220160.000000	264.704297
221184.000000	264.731328
222208.000000	264.901901
223232.000000	264.839974
224256.000000	264.858047
225280.000000	264.757265
226304.000000	265.108256
227328.000000	265.011849
228352.000000	265.151068
229376.000000	265.044453
230400.000000	265.234610
231424.000000	265.358619
232448.000000	265.453151
233472.000000	265.399765
234496.000000	265.412943
235520.000000	265.220390
236544.000000	265.474297
237568.000000	265.402890
238592.000000	265.562422
239616.000000	265.411744
240640.000000	265.460547
241664.000000	265.522786
242688.000000	265.578464
243712.000000	265.741744
244736.000000	265.728047
245760.000000	265.713203
246784.000000	265.860651
247808.000000	265.792578
248832.000000	265.762110
249856.000000	265.835703
250880.000000	265.959193
251904.000000	265.820078
252928.000000	265.852318
253952.000000	265.981953
254976.000000	265.878985
256000.000000	265.936953
257024.000000	266.005339
258048.000000	265.945911
259072.000000	265.975235
